id,answer
CORP-TAX-001,Die
CORP-TAX-002,Die
CORP-TAX-003,Die
CORP-TAX-004,Die
CORP-TAX-005,Die#
CORP-TAX-006,Der
CORP-TAX-007,Der
CORP-TAX-008,Die
CORP-TAX-009,Die
CORP-TAX-010,Die
CORP-TAX-011,Die
CORP-TAX-012,Die
CORP-TAX-013,Die
CORP-TAX-014,Die
CORP-TAX-015,Die
CORP-TAX-016,Die
CORP-TAX-017,Die
CORP-TAX-018,Die
CORP-TAX-019,Die
CORP-TAX-020,Die
CORP-TAX-021,Die
CORP-TAX-022,Die
CORP-TAX-023,Die
CORP-TAX-024,Der
CORP-TAX-025,Die
CORP-TAX-026,Der
CORP-TAX-027,Die
CORP-TAX-028,Die
CORP-TAX-029,Die
CORP-TAX-030,Die
CORP-TAX-031,Die
CORP-TAX-032,Die
CORP-TAX-033,Die
CORP-TAX-034,Die
CORP-TAX-035,Die
CORP-TAX-036,Die
CORP-TAX-037,Die
CORP-TAX-038,Die
CORP-TAX-039,Die
CORP-TAX-040,Die
CORP-TAX-041,Der
CORP-TAX-042,Die
CORP-TAX-043,Die
CORP-TAX-044,Die
CORP-TAX-045,Die
CORP-TAX-046,Die
CORP-TAX-047,Die
CORP-TAX-048,Die
CORP-TAX-049,Die
CORP-TAX-050,Die
CORP-TAX-051,Die
CORP-TAX-052,Die
CORP-TAX-053,Die
CORP-TAX-054,Die
CORP-TAX-055,Die
CORP-TAX-056,Die
CORP-TAX-057,Die
CORP-TAX-058,Die
CORP-TAX-059,Die
CORP-TAX-060,Die
TAX-INTL-001,Die
TAX-INTL-002,Der
TAX-INTL-003,Die
TAX-INTL-004,Die
TAX-INTL-005,Die
TAX-INTL-006,Die
TAX-INTL-007,Die
TAX-INTL-008,In
TAX-INTL-009,Die
TAX-INTL-010,Die
TAX-INTL-011,Die
TAX-INTL-012,Die
TAX-INTL-013,Die
TAX-INTL-014,Die
TAX-INTL-015,Die
TAX-INTL-016,Die
TAX-INTL-017,Die
TAX-INTL-018,Die
TAX-INTL-019,Der
TAX-INTL-020,Die
TAX-INTL-021,Die
TAX-INTL-022,Die
TAX-INTL-023,Die
TAX-INTL-024,Die
TAX-INTL-025,Die
TAX-INTL-026,Der
TAX-INTL-027,Die
TAX-INTL-028,Die
TAX-INTL-029,Die
TAX-INTL-030,Die
TAX-INTL-031,Die
TAX-INTL-032,Die
TAX-INTL-033,Die
TAX-INTL-034,Der
TAX-INTL-035,Die
TAX-INTL-036,Die
TAX-INTL-037,Die
TAX-INTL-038,Die
TAX-INTL-039,Die
TAX-INTL-040,Die
TAX-INTL-041,Die
TAX-INTL-042,Die
TAX-INTL-043,Die
TAX-INTL-044,Die
TAX-INTL-045,Die
TAX-INTL-046,Die
TAX-INTL-047,Die
TAX-INTL-048,Die
TAX-INTL-049,Die
TAX-INTL-050,Die
TAX-INTL-051,Die
TAX-INTL-052,Die
TAX-INTL-053,Die
TAX-INTL-054,Die
TAX-INTL-055,Die
TAX-INTL-056,Die
TAX-INTL-057,Die
TAX-INTL-058,Die
TAX-INTL-059,Die
TAX-INTL-060,Die
TAX-INTL-061,Die
TAX-INTL-062,Die
TAX-INTL-063,Der
TAX-INTL-064,Die
TAX-INTL-065,Die
TAX-INTL-066,Die
TAX-INTL-067,Die
TAX-INTL-068,Die
TAX-INTL-069,Die
TAX-INTL-070,Die
TAX-INTL-071,Die
TAX-INTL-072,Die
TAX-INTL-073,Die
TAX-INTL-074,Die
TAX-INTL-075,Der
TAX-INTL-076,Die
TAX-INTL-077,Die
TAX-INTL-078,Die
TAX-INTL-079,Die
TAX-INTL-080,Die
ESTG-NEW-001,Die
ESTG-NEW-002,Der
ESTG-NEW-003,Die
ESTG-NEW-004,Der
ESTG-NEW-005,Der
ESTG-NEW-006,Die
ESTG-NEW-007,Das
ESTG-NEW-008,Der
ESTG-NEW-009,Herr
ESTG-NEW-010,Die
ESTG-NEW-011,Die
ESTG-NEW-012,Die
ESTG-NEW-013,Es
ESTG-NEW-014,Der
ESTG-NEW-015,Die
ESTG-NEW-016,Die
ESTG-NEW-017,Es
ESTG-NEW-018,Die
ESTG-NEW-019,Die
ESTG-NEW-020,Die
VAT-DOM-001,Ja
VAT-DOM-002,In
VAT-DOM-003,Der
VAT-DOM-004,Ja
VAT-DOM-005,Die
VAT-DOM-006,Die
VAT-DOM-007,Die
VAT-DOM-008,Die
VAT-DOM-009,Die
VAT-DOM-010,In
VAT-DOM-011,Der
VAT-DOM-012,Der
VAT-DOM-013,Der
VAT-DOM-014,Die
VAT-DOM-015,Die
VAT-DOM-016,Die
VAT-DOM-017,Die
VAT-DOM-018,In
VAT-DOM-019,Die
VAT-DOM-020,Der
VAT-DOM-021,Die
VAT-DOM-022,Das
VAT-DOM-023,Die
VAT-DOM-024,Der
VAT-DOM-025,Die
VAT-DOM-026,Die
VAT-DOM-027,Die
VAT-DOM-028,Die
VAT-DOM-029,Die
VAT-DOM-030,Der
VAT-DOM-031,Der
VAT-DOM-032,Das
VAT-DOM-033,Die
VAT-DOM-034,Die
VAT-DOM-035,Die
VAT-DOM-036,Die
VAT-DOM-037,Bei
VAT-DOM-038,Das
VAT-DOM-039,Die
VAT-DOM-040,Die
VAT-DOM-041,Die
VAT-DOM-042,Die
VAT-DOM-043,Die
VAT-DOM-044,Die
VAT-DOM-045,Die
VAT-DOM-046,Die
VAT-DOM-047,Die
VAT-DOM-048,Der
VAT-DOM-049,Der
VAT-DOM-050,Die
VAT-DOM-051,Die
VAT-DOM-052,Die
VAT-DOM-053,Die
VAT-DOM-054,Der
VAT-DOM-055,Die
VAT-DOM-056,Die
VAT-DOM-057,Der
VAT-DOM-058,Die
VAT-DOM-059,Die
VAT-DOM-060,Die
VAT-DOM-061,Das
VAT-DOM-062,Die
VAT-DOM-063,Bei
VAT-DOM-064,In
VAT-DOM-065,Bei
VAT-DOM-066,Die
VAT-DOM-067,Die
